,date_heure,date,heure,effacement_necessaire,total_eolien_offshore,consommation,nucleaire_base,nucleaire_flexible,hydraulique,solaire,eolien_onshore,bioenergies,charbon,gaz,petrole,importations,exportations,soldes_echanges,step_decharge,step_charge,thermique_decharge,thermique_charge,effacement_potentiel_solaire,effacement_potentiel_eolien_onshore,effacemet_potentiel_eolien_offshore,batterie_decharge,batterie_charge,pertes,need,stock_batteries
36,2023-01-02-12,2023-01-02,12:00,0.0,16883.375,81087.165,0.0,0.0,10464.110768849416,25002.062818525792,22169.66266795247,1046.0,0.0,79.9932,0.053500000000000006,17437.710341290847,0.0,-17437.710341290847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7703.074162920171,6435.586276555517,-7852.594162920172,0.4229531766302406
37,2023-01-02-13,2023-01-02,13:00,1.8189894035458565e-12,17088.75,82325.37,0.0,0.0,11086.458890404123,27196.072159186075,23515.848265009856,1051.0,0.0,0.0,0.053500000000000006,17437.710341290847,0.0,-17437.710341290847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10456.922958043468,6736.457340704583,-10531.682958043468,0.825142521170374
38,2023-01-02-14,2023-01-02,14:00,-9.094947017729282e-13,17402.625000000004,79982.715,0.0,0.0,10153.407457052954,25942.352535951628,25582.82611936171,1046.0,0.0,0.0,0.053500000000000006,9637.709941290845,0.0,-9637.709941290845,0.0,0.0,0.0,1139.4095803957898,0.0,9.094947017729282e-13,0.0,0.0,4546.294449570276,6239.41266654822,-12975.424029966067,1.0
39,2023-01-02-15,2023-01-02,15:00,0.0,18270.625,77683.35,0.0,0.0,9161.039927423975,17118.09499802985,30352.775038657222,1049.0,0.0,3.9996600000000004,0.053500000000000006,7537.758897213101,0.0,-7537.758897213101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5809.997021324145,-1962.571069231537,1.0
40,2023-01-02-16,2023-01-02,16:00,0.0,20909.500000000004,76662.15000000001,0.0,0.0,9095.133164923347,7329.437860627834,36733.90672609004,1048.0,0.0,3.9996600000000004,0.053500000000000006,7276.537879341823,0.0,-7276.537879341823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5734.418790983043,-244.13179240306272,1.0
41,2023-01-02-17,2023-01-02,17:00,0.0,23362.375,77087.28,0.0,0.0,9239.18650435398,650.9698992575384,42086.84942176138,1044.0,0.0,3.9996600000000004,0.053500000000000006,6470.234180671419,0.0,-6470.234180671419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5770.388166044327,-753.554858570471,1.0
42,2023-01-02-18,2023-01-02,18:00,0.0,24660.5,81110.475,0.0,0.0,10048.89815506821,0.0,45235.01570209069,1094.0,0.0,3.9996600000000004,0.053500000000000006,3849.9723178840413,0.0,-3849.9723178840413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5924.821477900079,-2448.84286241811,1.0
43,2023-01-02-19,2023-01-02,19:00,-2.2737367544323206e-13,25214.625,83377.09499999999,0.0,0.0,9552.714390253723,0.0,46692.5001029945,1073.0,0.0,3.9996600000000004,30.067000000000004,3849.9723178840413,0.0,-3849.9723178840413,0.0,0.0,848.7541584369199,0.0,0.0,2.2737367544323206e-13,0.0,0.0,0.0,6031.394772426332,876.8041584369198,1.0
44,2023-01-02-20,2023-01-02,20:00,0.0,26474.000000000004,80392.30500000001,0.0,0.0,9608.264374357503,0.0,49024.47512842627,1079.0,0.0,3.9996600000000004,0.05350000000000076,0.0,0.0,0.0,0.0,0.0,0.0,1907.0778804460529,0.0,0.0,0.0,0.0,0.0,6033.266925194865,-5533.232850431138,1.0
45,2023-01-02-21,2023-01-02,21:00,0.0,28303.0,75441.15000000001,0.0,0.0,7408.861582977994,0.0,51642.647146667274,1067.0,0.0,0.0,0.053500000000000006,0.0,0.0,0.0,0.0,390.9031185700778,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,6189.509111075169,-6794.641118570078,1.0
