tranche_horaire;consommation;gaz cogénérations;hydraulique;éolien onshore;solaire;biomasse;annee
107;0.000141117;0.583255348;0.498262911;0.301429706;0.13639029;0.5225;2018
108;0.000142481;0.583255348;0.48056338;0.333068573;0.180368242;0.529;2018
109;0.000142595;0.586530749;0.426901408;0.355242256;0.195731207;0.5315;2018
110;0.000138235;0.584659091;0.404507042;0.392507281;0.176615457;0.535;2018
111;0.000134587;0.584893048;0.395211268;0.376555467;0.131464759;0.538;2018
112;0.000132368;0.58723262;0.417276995;0.326118613;0.064031899;0.54;2018
113;0.000132137;0.588636364;0.464084507;0.287331215;0.009733787;0.54;2018
114;0.000141548;0.590040107;0.608685446;0.261053746;-0.000117275;0.5455;2018
115;0.000146096;0.590975936;0.598356808;0.250397141;-0.000117275;0.5445;2018
116;0.000141848;0.59144385;0.508497653;0.240071485;-0.000117275;0.551;2018
117;0.000133155;0.589572193;0.416666667;0.218559703;-0.000117275;0.549;2018
118;0.000127369;0.590975936;0.398497653;0.183942282;-0.000117275;0.5455;2018
119;0.000134111;0.589572193;0.511032864;0.152568176;-0.000117275;0.5535;2018
120;0.000132692;0.589572193;0.408169014;0.153230077;-0.000117275;0.553;2018
121;0.000122299;0.584425134;0.375070423;0.139131586;-0.000117275;0.552;2018
122;0.000119142;0.586764706;0.370798122;0.124305004;-0.000117275;0.557;2018
123;0.000113401;0.584659091;0.369812207;0.108948901;-0.000117275;0.556;2018
124;0.000108219;0.58559492;0.36370892;0.104183214;-0.000117275;0.5585;2018
125;0.000106696;0.586530749;0.363849765;0.096902303;-0.000117275;0.556;2018
126;0.000109481;0.588402406;0.359906103;0.079163357;-0.000117275;0.5505;2018
127;0.000113876;0.593549465;0.361596244;0.061821551;-0.000117275;0.5485;2018
128;0.000118896;0.596356952;0.368732394;0.053547789;-0.000234549;0.5435;2018
129;0.000123028;0.59401738;0.42971831;0.053216839;0.005394629;0.551;2018
130;0.000128307;0.596356952;0.452723005;0.056989674;0.044564325;0.547;2018
131;0.000130894;0.59822861;0.424694836;0.056923484;0.088894101;0.5555;2018
